Date,Adj Close,Close,High,Low,Open,Volume
2020-07-08,10250.78125,10970.5,11352.75,10041.0,10350.0,29829
2020-07-09,9925.9853515625,10622.900390625,10790.150390625,10538.0,10688.0,7292
2020-07-10,9700.98046875,10382.099609375,10646.0,10325.0498046875,10646.0,3949
2020-07-13,9661.365234375,10339.7001953125,10646.0,10250.2001953125,10412.0,5555
2020-07-14,9484.85546875,10150.7998046875,10525.0,10100.0,10330.0,6793
2020-07-15,9577.1279296875,10249.5498046875,10443.400390625,10120.0,10295.0,15092
2020-07-16,9618.6162109375,10293.9501953125,10479.849609375,10171.0,10397.0,6262
2020-07-17,9798.7216796875,10486.7001953125,10512.0,10201.0,10299.9501953125,6769
2020-07-20,9977.5625,10678.099609375,10899.0,10281.7001953125,10511.9501953125,9873
2020-07-21,9999.1953125,10701.25,10777.9501953125,10501.0,10678.150390625,4762
2020-07-22,10010.8740234375,10713.75,10789.9501953125,10536.150390625,10750.0,4365
2020-07-23,10019.1435546875,10722.599609375,10844.75,10620.0,10620.0,6669
2020-07-24,10100.15625,10809.2998046875,10897.9501953125,10655.0,10722.599609375,19769
2020-07-27,9990.3173828125,10691.75,10859.9501953125,10655.0,10810.0,2171
2020-07-28,9824.9306640625,10514.75,10820.0498046875,10475.0,10615.2001953125,3542
2020-07-29,9651.78515625,10329.4501953125,10524.5,10280.0498046875,10501.0,8399
2020-07-30,9655.103515625,10333.0,10488.0,10150.0,10335.0,9498
2020-07-31,9672.716796875,10351.849609375,10424.0,10251.0498046875,10364.4501953125,2265
2020-08-03,9700.4208984375,10381.5,10450.5,10225.0498046875,10389.9501953125,3275
2020-08-04,9623.66015625,10299.349609375,10480.0,10291.0,10480.0,2447
2020-08-05,9616.2333984375,10291.400390625,10428.2001953125,10250.0,10299.349609375,3514
2020-08-06,9615.439453125,10290.5498046875,10365.0,10251.25,10299.9501953125,1007
2020-08-07,9634.9208984375,10311.400390625,10425.0,10251.25,10320.0,12864
2020-08-10,9595.162109375,10268.849609375,10380.0,10175.0,10301.0,3070
2020-08-11,9529.193359375,10198.25,10341.599609375,10185.0,10341.5498046875,13363
2020-08-12,9506.861328125,10174.349609375,10248.0,10151.5,10198.2998046875,2799
2020-08-13,9486.5859375,10152.650390625,10230.0,10125.5,10210.0,1588
2020-08-14,9385.904296875,10044.900390625,10278.0,9987.0,10278.0,18382
2020-08-17,9393.51953125,10053.0498046875,10300.0,10015.150390625,10111.0,3837
2020-08-18,9380.7177734375,10039.349609375,10098.9501953125,10010.0498046875,10010.0498046875,3854
2020-08-19,9295.6875,9948.349609375,10110.9501953125,9927.5,10039.349609375,11194
2020-08-20,9420.0107421875,10081.400390625,10200.0,9925.0,9998.900390625,20807
2020-08-21,9501.208984375,10168.2998046875,10269.7001953125,10074.349609375,10154.0,16894
2020-08-24,9495.2294921875,10161.900390625,10249.0,9991.0498046875,10249.0,15208
2020-08-25,9625.763671875,10301.599609375,10450.0,10030.0,10200.0,29767
2020-08-26,9570.21484375,10242.150390625,10707.099609375,10111.0,10707.099609375,10518
2020-08-27,9460.6083984375,10124.849609375,10391.9501953125,10096.5498046875,10345.0,20718
2020-08-28,9468.458984375,10133.25,10238.9501953125,10100.150390625,10199.0,18826
2020-08-31,9331.662109375,9986.849609375,10270.0,9949.7998046875,10270.0,8543
2020-09-01,9343.109375,9999.099609375,10095.0,9950.099609375,10095.0,2228
2020-09-02,9444.1171875,10107.2001953125,10180.0,9975.0,9999.0,71637
2020-09-03,9500.6943359375,10167.75,10250.0,10100.0,10194.599609375,3481
2020-09-04,9415.525390625,10076.599609375,10233.0,10005.0,10005.0,3955
