Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'INFY.NS')","('High', 'INFY.NS')","('Low', 'INFY.NS')","('Open', 'INFY.NS')","('Volume', 'INFY.NS')","('Date', '')","('Close', 'INFY.NS')","('High', 'INFY.NS')","('Low', 'INFY.NS')","('Open', 'INFY.NS')","('Volume', 'INFY.NS')"
2021-08-01,1572.3070068359375,1706.449951171875,1757.0,1619.199951171875,1627.449951171875,132748512.0,,,,,,,,,,,,
2021-09-01,1543.513671875,1675.199951171875,1788.0,1655.0,1709.5,113957923.0,,,,,,,,,,,,
2021-10-01,1536.6492919921875,1667.75,1848.0,1661.050048828125,1665.0999755859375,144440594.0,,,,,,,,,,,,
2021-11-01,1592.0047607421875,1712.6500244140625,1808.949951171875,1669.1500244140625,1677.5,104526424.0,,,,,,,,,,,,
2021-12-01,1754.77001953125,1887.75,1909.800048828125,1691.5,1715.0,109472023.0,,,,,,,,,,,,
2022-01-01,1613.89599609375,1736.199951171875,1953.9000244140625,1665.0,1887.75,141619689.0,,,,,,,,,,,,
2022-02-01,1594.7469482421875,1715.5999755859375,1792.800048828125,1665.0,1766.0999755859375,128928283.0,,,,,,,,,,,,
2022-03-01,1772.524658203125,1906.8499755859373,1923.300048828125,1681.0,1715.5999755859375,154420688.0,,,,,,,,,,,,
2022-04-01,1457.1260986328125,1567.550048828125,1910.300048828125,1550.0,1886.8499755859373,170696670.0,,,,,,,,,,,,
2022-05-01,1397.6810302734375,1503.5999755859375,1589.4000244140625,1399.25,1550.9000244140625,176039201.0,,,,,,,,,,,,
2022-06-01,1373.31005859375,1461.9000244140625,1555.0,1367.1500244140625,1513.0,139144802.0,,,,,,,,,,,,
2022-07-01,1455.789306640625,1549.699951171875,1555.699951171875,1410.6500244140625,1454.0,115124683.0,,,,,,,,,,,,
2022-08-01,1402.4783935546875,1492.949951171875,1631.3499755859375,1450.0,1564.0,92398681.0,,,,,,,,,,,,
2022-09-01,1327.7960205078125,1413.449951171875,1553.0,1355.0,1460.050048828125,171480153.0,,,,,,,,,,,,
2022-10-01,1444.4697265625,1537.6500244140625,1546.4000244140625,1386.0,1412.0,105106395.0,,,,,,,,,,,,
2022-11-01,1552.6583251953125,1634.949951171875,1653.5,1485.0,1553.050048828125,91935458.0,,,,,,,,,,,,
2022-12-01,1432.287841796875,1508.199951171875,1672.5999755859375,1482.449951171875,1656.199951171875,127679808.0,,,,,,,,,,,,
2023-01-01,1456.552001953125,1533.75,1568.800048828125,1446.5,1514.0,142093979.0,,,,,,,,,,,,
2023-02-01,1412.677490234375,1487.550048828125,1619.75,1481.300048828125,1542.199951171875,99346960.0,,,,,,,,,,,,
2023-03-01,1356.0770263671875,1427.949951171875,1520.4000244140625,1364.550048828125,1492.4000244140625,142669535.0,,,,,,,,,,,,
2023-04-01,1189.6954345703125,1252.75,1435.0,1185.300048828125,1435.0,181895956.0,,,,,,,,,,,,
2023-05-01,1251.9462890625,1318.300048828125,1332.699951171875,1239.050048828125,1252.75,153758884.0,,,,,,,,,,,,
2023-06-01,1268.2803955078125,1335.5,1338.9000244140625,1262.25,1322.550048828125,125302884.0,,,,,,,,,,,,
2023-07-01,1304.768310546875,1355.699951171875,1498.800048828125,1305.0,1330.0,212488786.0,,,,,,,,,,,,
2023-08-01,1381.5220947265625,1435.449951171875,1444.9000244140625,1348.449951171875,1362.0,107163346.0,,,,,,,,,,,,
2023-09-01,1381.5220947265625,1435.449951171875,1518.4000244140625,1416.0,1430.949951171875,101541064.0,,,,,,,,,,,,
2023-10-01,1316.9913330078125,1368.4000244140625,1518.25,1353.0999755859375,1435.449951171875,115659556.0,,,,,,,,,,,,
2023-11-01,1418.6094970703125,1455.1500244140625,1467.9000244140625,1351.6500244140625,1373.050048828125,85186084.0,,,,,,,,,,,,
2023-12-01,1504.1558837890625,1542.9000244140625,1593.0,1433.1500244140625,1459.9000244140625,130077843.0,,,,,,,,,,,,
2024-01-01,1619.1927490234375,1660.9000244140625,1690.0,1486.5999755859375,1539.0,165823157.0,,,,,,,,,,,,
2024-02-01,1631.8663330078125,1673.9000244140625,1733.0,1635.5,1659.550048828125,101673806.0,,,,,,,,,,,,
2024-03-01,1460.43212890625,1498.050048828125,1671.949951171875,1481.550048828125,1669.0,135900753.0,,,,,,,,,,,,
2024-04-01,1384.8782958984375,1420.550048828125,1529.949951171875,1378.75,1525.0,185453567.0,,,,,,,,,,,,
2024-05-01,1371.571044921875,1406.9000244140625,1479.5999755859375,1400.0,1420.550048828125,175215341.0,,,,,,,,,,,,
2024-06-01,1549.111572265625,1566.75,1588.5,1358.3499755859375,1440.0,177134468.0,,,,,,,,,,,,
2024-07-01,1847.21728515625,1868.25,1903.0,1559.5,1559.5,192519323.0,,,,,,,,,,,,
2024-08-01,1921.81787109375,1943.699951171875,1951.0,1718.550048828125,1856.0999755859373,124670491.0,,,,,,,,,,,,
2024-09-01,1854.484619140625,1875.5999755859373,1975.75,1867.4000244140625,1943.3499755859373,134369302.0,,,,,,,,,,,,
2024-10-01,1737.4669189453125,1757.25,1991.449951171875,1746.5,1875.0,124181223.0,,,,,,,,,,,,
2024-11-01,1857.8499755859373,1857.8499755859373,1941.4000244140625,1718.0,1764.5,106461012.0,,,,,,,,,,,,
2024-12-01,1880.0,1880.0,2006.449951171875,1835.199951171875,1859.0,104692952.0,,,,,,,,,,,,
2025-01-01,1856.449951171875,1856.449951171875,1982.800048828125,1793.050048828125,1874.0,105353035.0,,,,,,,,,,,,
