Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'ADANIENT.NS')","('High', 'ADANIENT.NS')","('Low', 'ADANIENT.NS')","('Open', 'ADANIENT.NS')","('Volume', 'ADANIENT.NS')","('Date', '')","('Close', 'ADANIENT.NS')","('High', 'ADANIENT.NS')","('Low', 'ADANIENT.NS')","('Open', 'ADANIENT.NS')","('Volume', 'ADANIENT.NS')"
2022-03-01,2011.0704345703125,2014.75,2042.0,1539.300048828125,1644.449951171875,33084069.0,,,,,,,,,,,,
2022-04-01,2327.740966796875,2332.0,2420.949951171875,2013.050048828125,2018.0,40068588.0,,,,,,,,,,,,
2022-05-01,2163.59130859375,2167.550048828125,2362.89990234375,1906.199951171875,2325.0,33918429.0,,,,,,,,,,,,
2022-06-01,2186.898681640625,2190.89990234375,2274.0,2025.0,2169.949951171875,40585829.0,,,,,,,,,,,,
2022-07-01,2564.507568359375,2569.199951171875,2622.0,2138.25,2189.89990234375,23823202.0,,,,,,,,,,,,
2022-08-01,3189.87158203125,3194.35009765625,3263.10009765625,2569.199951171875,2575.85009765625,47295403.0,,,,,,,,,,,,
2022-09-01,3450.905029296875,3455.75,3885.0,3184.39990234375,3200.0,83930311.0,,,,,,,,,,,,
2022-10-01,3342.7568359375,3347.449951171875,3460.050048828125,3110.199951171875,3440.0,40771715.0,,,,,,,,,,,,
2022-11-01,3912.406982421875,3917.89990234375,4096.0,3352.0,3361.89990234375,53422331.0,,,,,,,,,,,,
2022-12-01,3852.940673828125,3858.35009765625,4190.0,3616.800048828125,3937.5,40808180.0,,,,,,,,,,,,
2023-01-01,2969.73046875,2973.89990234375,3880.0,2665.0,3870.0,79652039.0,,,,,,,,,,,,
2023-02-01,1361.9378662109375,1363.8499755859375,3010.75,1017.4500122070312,2995.0,309371332.0,,,,,,,,,,,,
2023-03-01,1747.9957275390625,1750.449951171875,2135.0,1407.9000244140625,1424.0,228029587.0,,,,,,,,,,,,
2023-04-01,1922.2510986328125,1924.949951171875,1944.0,1671.550048828125,1750.449951171875,58223387.0,,,,,,,,,,,,
2023-05-01,2489.8544921875,2493.35009765625,2759.449951171875,1785.3499755859375,1924.949951171875,161701363.0,,,,,,,,,,,,
2023-06-01,2384.701904296875,2388.050048828125,2560.0,2163.300048828125,2499.89990234375,132788969.0,,,,,,,,,,,,
2023-07-01,2488.705810546875,2492.199951171875,2518.0,2340.0,2405.0,52182135.0,,,,,,,,,,,,
2023-08-01,2418.27490234375,2419.25,2722.39990234375,2383.75,2504.85009765625,138673349.0,,,,,,,,,,,,
2023-09-01,2412.9267578125,2413.89990234375,2630.25,2380.0,2381.0,67079032.0,,,,,,,,,,,,
2023-10-01,2293.724853515625,2294.64990234375,2538.0,2167.050048828125,2413.89990234375,29755246.0,,,,,,,,,,,,
2023-11-01,2357.599365234375,2358.550048828125,2512.39990234375,2142.0,2299.0,41413389.0,,,,,,,,,,,,
2023-12-01,2847.801513671875,2848.949951171875,3154.550048828125,2354.10009765625,2370.0,102053056.0,,,,,,,,,,,,
2024-01-01,3140.7333984375,3142.0,3199.0,2804.39990234375,2852.300048828125,75432738.0,,,,,,,,,,,,
2024-02-01,3284.075439453125,3285.39990234375,3344.0,3083.050048828125,3156.89990234375,38842233.0,,,,,,,,,,,,
2024-03-01,3195.811279296875,3197.10009765625,3350.0,2850.14990234375,3309.85009765625,29268973.0,,,,,,,,,,,,
2024-04-01,3053.468505859375,3054.699951171875,3291.800048828125,2962.5,3230.199951171875,21517479.0,,,,,,,,,,,,
2024-05-01,3409.974853515625,3411.35009765625,3457.85009765625,2756.0,3054.699951171875,57461988.0,,,,,,,,,,,,
2024-06-01,3175.869140625,3177.14990234375,3743.89990234375,2733.949951171875,3725.0,90184498.0,,,,,,,,,,,,
2024-07-01,3169.39990234375,3169.39990234375,3207.800048828125,2886.35009765625,3179.949951171875,24221872.0,,,,,,,,,,,,
2024-08-01,3019.35009765625,3019.35009765625,3258.0,2981.300048828125,3180.0,48572789.0,,,,,,,,,,,,
2024-09-01,3135.85009765625,3135.85009765625,3209.89990234375,2890.35009765625,3021.10009765625,25711548.0,,,,,,,,,,,,
2024-10-01,2947.25,2947.25,3211.0,2654.699951171875,3136.300048828125,30210863.0,,,,,,,,,,,,
2024-11-01,2463.14990234375,2463.14990234375,3070.0,2025.0,2960.0,107723816.0,,,,,,,,,,,,
2024-12-01,2528.64990234375,2528.64990234375,2610.0,2332.75,2491.35009765625,42696851.0,,,,,,,,,,,,
2025-01-01,2376.550048828125,2376.550048828125,2644.199951171875,2216.89990234375,2536.0,24579901.0,,,,,,,,,,,,
