Date,Adj Close,Close,High,Low,Open,Volume,"('Date', '')","('Close', 'DLF.NS')","('High', 'DLF.NS')","('Low', 'DLF.NS')","('Open', 'DLF.NS')","('Volume', 'DLF.NS')","('Date', '')","('Close', 'DLF.NS')","('High', 'DLF.NS')","('Low', 'DLF.NS')","('Open', 'DLF.NS')","('Volume', 'DLF.NS')"
2022-05-01,338.2343444824219,345.54998779296875,372.7999877929688,302.29998779296875,367.5,159517369.0,,,,,,,,,,,,
2022-06-01,306.079833984375,312.70001220703125,348.8500061035156,294.70001220703125,346.3999938964844,118463142.0,,,,,,,,,,,,
2022-07-01,377.7790222167969,385.9500122070313,396.8500061035156,309.45001220703125,310.3999938964844,97360253.0,,,,,,,,,,,,
2022-08-01,381.7432861328125,390.0,392.0,360.1000061035156,385.0,88935951.0,,,,,,,,,,,,
2022-09-01,351.8956604003906,356.70001220703125,413.8500061035156,344.1000061035156,388.0,118302140.0,,,,,,,,,,,,
2022-10-01,380.3077697753906,385.5,389.6000061035156,346.0,357.29998779296875,78513008.0,,,,,,,,,,,,
2022-11-01,397.2267761230469,402.6499938964844,409.5,380.0,387.0,80394244.0,,,,,,,,,,,,
2022-12-01,369.9491882324219,375.0,418.5,355.29998779296875,405.7999877929688,86486220.0,,,,,,,,,,,,
2023-01-01,351.25439453125,356.04998779296875,382.7000122070313,346.5,376.0499877929688,64067123.0,,,,,,,,,,,,
2023-02-01,346.9136962890625,351.6499938964844,373.1499938964844,341.29998779296875,358.54998779296875,64782870.0,,,,,,,,,,,,
2023-03-01,351.8956604003906,356.70001220703125,377.5,336.5,351.6499938964844,72231863.0,,,,,,,,,,,,
2023-04-01,420.4595947265625,426.2000122070313,428.8999938964844,357.3999938964844,358.0,108672672.0,,,,,,,,,,,,
2023-05-01,468.5036315917969,474.8999938964844,486.3999938964844,420.6000061035156,426.2000122070313,150465906.0,,,,,,,,,,,,
2023-06-01,483.9428405761719,490.5499877929688,508.75,469.7000122070313,475.0,89294456.0,,,,,,,,,,,,
2023-07-01,511.7630615234375,518.75,521.75,478.3500061035156,493.0,88741721.0,,,,,,,,,,,,
2023-08-01,501.2354736328125,504.1000061035156,511.5,463.0499877929688,509.5,91806754.0,,,,,,,,,,,,
2023-09-01,527.8831787109375,530.9000244140625,544.4500122070312,500.2999877929688,503.8999938964844,65272871.0,,,,,,,,,,,,
2023-10-01,560.2979125976562,563.5,576.75,513.5,530.9000244140625,87463115.0,,,,,,,,,,,,
2023-11-01,622.2935791015625,625.8499755859375,641.75,565.0,565.0,96225650.0,,,,,,,,,,,,
2023-12-01,722.2722778320312,726.4000244140625,730.0,625.5499877929688,631.9000244140625,74701874.0,,,,,,,,,,,,
2024-01-01,798.0392456054688,802.5999755859375,815.75,704.4500122070312,727.2000122070312,140634306.0,,,,,,,,,,,,
2024-02-01,896.0789794921875,901.2000122070312,919.9500122070312,783.2000122070312,802.5499877929688,103651172.0,,,,,,,,,,,,
2024-03-01,891.90283203125,897.0,941.9000244140624,805.2999877929688,902.0,75013616.0,,,,,,,,,,,,
2024-04-01,886.7820434570312,891.8499755859375,967.5999755859376,834.0,904.0,81294930.0,,,,,,,,,,,,
2024-05-01,811.01513671875,815.6500244140625,903.9000244140624,799.5999755859375,891.8499755859375,98400870.0,,,,,,,,,,,,
2024-06-01,820.0633544921875,824.75,887.9000244140625,687.0499877929688,855.9000244140625,93318334.0,,,,,,,,,,,,
2024-07-01,884.0974731445312,889.1500244140625,891.5499877929688,778.2000122070312,826.0,84319472.0,,,,,,,,,,,,
2024-08-01,845.0999755859375,845.0999755859375,901.0,800.4000244140625,890.0,65001774.0,,,,,,,,,,,,
2024-09-01,895.1500244140625,895.1500244140625,929.0,809.5499877929688,850.0,64501964.0,,,,,,,,,,,,
2024-10-01,819.8499755859375,819.8499755859375,916.0999755859376,766.5999755859375,896.7999877929688,85536431.0,,,,,,,,,,,,
2024-11-01,822.9500122070312,822.9500122070312,838.9500122070312,743.9500122070312,824.0,58595675.0,,,,,,,,,,,,
2024-12-01,824.9000244140625,824.9000244140625,896.5999755859375,809.9000244140625,828.0,61143071.0,,,,,,,,,,,,
2025-01-01,713.7999877929688,713.7999877929688,839.8499755859375,700.7999877929688,821.5499877929688,51610769.0,,,,,,,,,,,,
